country,interest_rate_pct,date_of_last_change,average_inflation_rate_pct
Albania,1.0,2016-06-06,1.75
Angola,15.5,2019-05-24,17.54
Argentina,68.0,2019-10-15,31.17
Armenia,5.75,2019-01-29,2.38
Australia,0.75,2019-10-01,1.93
Azerbaijan,8.25,2019-07-26,6.51
Bahamas,4.0,2016-12-22,0.97
Bahrain,2.5,2019-07-31,2.4
Bangladesh,6.0,2018-04-06,6.38
Barbados,7.0,2009-06-01,1.67
Belarus,9.5,2019-08-07,13.47
Botswana,5.0,2017-10-24,3.89
Brazil,4.25,2020-02-05,6.73
Bulgaria,0.0,2016-01-29,0.12
Canada,1.75,2018-10-24,1.4
Cape Verde,5.5,2017-06-07,0.15
Chile,1.75,2019-10-23,3.3
China,4.2,2019-09-20,1.93
Czech Republic,2.0,2019-05-02,1.04
DR Congo,9.0,2019-04-30,11.46
Denmark,-0.75,2019-09-12,0.64
Dominican Republic,5.25,2017-07-31,2.69
Egypt,13.25,2019-09-26,14.41
Fiji,0.5,2011-11-02,2.4
Gambia,20.0,2017-05-09,6.74
Georgia,7.0,2017-05-02,2.93
Ghana,20.0,2017-07-24,14.79
Hong Kong,2.0,2019-10-31,3.12
Hungary,0.9,2016-05-24,0.83
Iceland,3.25,2019-10-02,2.2
India,5.4,2019-08-07,6.12
Indonesia,6.0,2018-11-15,5.29
Iran,18.0,2016-05-01,17.37
Israel,0.25,2018-11-26,0.21
Jamaica,0.5,2019-08-27,5.37
Japan,-0.1,2016-01-29,-0.26
Jordan,3.75,2017-06-15,1.85
Kazakhstan,9.0,2017-06-15,8.21
Kenya,10.0,2016-09-20,6.7
Kuwait,2.75,2017-03-15,2.85
Kyrgyzstan,5.0,2016-12-27,4.81
North Macedonia,3.25,2017-02-15,0.65
Malawi,13.5,2019-05-03,21.26
Malaysia,3.0,2019-05-07,2.66
Mauritius,4.0,2016-07-20,2.53
Mexico,7.5,2019-11-15,3.88
Moldova,8.0,2017-06-29,6.45
Mongolia,11.0,2018-11-27,6.8
Morocco,2.25,2016-03-22,1.26
Mozambique,12.75,2019-08-14,8.4
Namibia,6.5,2019-08-14,5.44
New Zealand,1.0,2019-08-07,1.03
Nigeria,13.5,2019-03-26,11.49
Norway,1.5,2019-09-19,2.35
Pakistan,13.25,2019-07-16,5.03
Paraguay,5.5,2016-07-20,3.7
Peru,3.75,2017-07-13,3.2
Philippines,4.0,2019-09-26,2.18
Poland,1.5,2015-03-04,0.31
Qatar,5.0,2017-03-16,2.27
Romania,2.5,2018-05-07,0.83
Russia,6.0,2020-02-10,8.1
Rwanda,6.0,2017-06-27,5.22
Samoa,0.19,2019-06-01,0.77
Saudi Arabia,2.25,2019-10-30,2.31
Serbia,2.5,2019-08-08,3.05
Sierra Leone,13.0,2017-06-15,9.08
South Africa,6.5,2019-07-18,5.64
South Korea,1.25,2016-06-09,1.24
Sri Lanka,7.25,2017-03-23,5.09
Sweden,-0.25,2018-12-20,0.5
Switzerland,-0.75,2015-01-15,-0.26
Tajikistan,13.25,2019-05-31,6.03
Thailand,1.5,2019-08-07,0.8
Trinidad and Tobago,9.25,2018-09-28,4.09
Tunisia,7.75,2019-02-19,4.93
Turkey,11.25,2020-01-16,8.58
Uganda,10.0,2017-06-19,4.89
Ukraine,11.0,2020-01-30,16.73
UAE,2.0,2019-10-31,2.22
United Kingdom,0.75,2018-08-02,1.47
United States,1.75,2019-10-30,1.32
Vietnam,6.0,2019-09-16,3.65
Zambia,10.25,2019-05-22,9.79
